"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,GSM300166,GSM300166_SE,GSM300167,GSM300167_SE,GSM300168,GSM300168_SE,GSM300169,GSM300169_SE,GSM300170,GSM300170_SE,GSM300171,GSM300171_SE,GSM300172,GSM300172_SE,GSM300173,GSM300173_SE,GSM300174,GSM300174_SE,GSM300175,GSM300175_SE,GSM300176,GSM300176_SE,GSM300177,GSM300177_SE,GSM300178,GSM300178_SE,GSM300179,GSM300179_SE,GSM300180,GSM300180_SE,GSM300181,GSM300181_SE,GSM300182,GSM300182_SE,GSM300183,GSM300183_SE,GSM300185,GSM300185_SE,GSM300186,GSM300186_SE,GSM300187,GSM300187_SE,GSM300188,GSM300188_SE,GSM300189,GSM300189_SE,GSM300190,GSM300190_SE,GSM300191,GSM300191_SE,GSM300192,GSM300192_SE,GSM300193,GSM300193_SE,GSM300194,GSM300194_SE,GSM300195,GSM300195_SE,GSM300196,GSM300196_SE,GSM300197,GSM300197_SE,GSM300198,GSM300198_SE,GSM300199,GSM300199_SE,GSM300200,GSM300200_SE,GSM300201,GSM300201_SE,GSM300202,GSM300202_SE,GSM300203,GSM300203_SE,GSM300204,GSM300204_SE,GSM300205,GSM300205_SE,GSM300206,GSM300206_SE,GSM300207,GSM300207_SE,GSM300208,GSM300208_SE,GSM300209,GSM300209_SE,GSM300210,GSM300210_SE,GSM300211,GSM300211_SE,GSM300212,GSM300212_SE,GSM300213,GSM300213_SE,GSM300214,GSM300214_SE,GSM300215,GSM300215_SE,GSM300216,GSM300216_SE,GSM300217,GSM300217_SE,GSM300218,GSM300218_SE,GSM300219,GSM300219_SE,GSM300220,GSM300220_SE,GSM300221,GSM300221_SE,GSM300222,GSM300222_SE,GSM300223,GSM300223_SE,GSM300224,GSM300224_SE,GSM300225,GSM300225_SE,GSM300226,GSM300226_SE,GSM300227,GSM300227_SE,GSM300228,GSM300228_SE,GSM300229,GSM300229_SE,GSM300230,GSM300230_SE,GSM300231,GSM300231_SE,GSM300232,GSM300232_SE,GSM300233,GSM300233_SE,GSM300234,GSM300234_SE,GSM300235,GSM300235_SE,GSM300236,GSM300236_SE,GSM300237,GSM300237_SE,GSM300238,GSM300238_SE,GSM300239,GSM300239_SE,GSM300240,GSM300240_SE,GSM300241,GSM300241_SE,GSM300242,GSM300242_SE,GSM300243,GSM300243_SE,GSM300244,GSM300244_SE,GSM300245,GSM300245_SE,GSM300246,GSM300246_SE,GSM300247,GSM300247_SE,GSM300248,GSM300248_SE,GSM300249,GSM300249_SE,GSM300250,GSM300250_SE,GSM300251,GSM300251_SE,GSM300252,GSM300252_SE,GSM300253,GSM300253_SE,GSM300254,GSM300254_SE,GSM300255,GSM300255_SE,GSM300256,GSM300256_SE,GSM300258,GSM300258_SE,GSM300259,GSM300259_SE,GSM300260,GSM300260_SE,GSM300261,GSM300261_SE,GSM300262,GSM300262_SE,GSM300263,GSM300263_SE,GSM300264,GSM300264_SE,GSM300265,GSM300265_SE,GSM300266,GSM300266_SE,GSM300267,GSM300267_SE,GSM300268,GSM300268_SE,GSM300269,GSM300269_SE,GSM300270,GSM300270_SE,GSM300271,GSM300271_SE,GSM300272,GSM300272_SE,GSM300273,GSM300273_SE,GSM300274,GSM300274_SE,GSM300275,GSM300275_SE,GSM300276,GSM300276_SE,GSM300277,GSM300277_SE,GSM300278,GSM300278_SE,GSM300279,GSM300279_SE,GSM300280,GSM300280_SE,GSM300281,GSM300281_SE,GSM300282,GSM300282_SE,GSM300283,GSM300283_SE,GSM300284,GSM300284_SE,GSM300285,GSM300285_SE,GSM300286,GSM300286_SE,GSM300287,GSM300287_SE,GSM300288,GSM300288_SE,GSM300289,GSM300289_SE,GSM300290,GSM300290_SE,GSM300291,GSM300291_SE,GSM300292,GSM300292_SE,GSM300293,GSM300293_SE,GSM300294,GSM300294_SE,GSM300295,GSM300295_SE,GSM300296,GSM300296_SE,GSM300297,GSM300297_SE,GSM300298,GSM300298_SE,GSM300299,GSM300299_SE,GSM300300,GSM300300_SE,GSM300301,GSM300301_SE,GSM300302,GSM300302_SE,GSM300303,GSM300303_SE,GSM300304,GSM300304_SE,GSM300305,GSM300305_SE,GSM300306,GSM300306_SE,GSM300307,GSM300307_SE,GSM300308,GSM300308_SE,GSM300309,GSM300309_SE,GSM300310,GSM300310_SE,GSM300311,GSM300311_SE,GSM300312,GSM300312_SE,GSM300313,GSM300313_SE,GSM300314,GSM300314_SE,GSM300315,GSM300315_SE,GSM300316,GSM300316_SE,GSM300317,GSM300317_SE,GSM300318,GSM300318_SE,GSM300319,GSM300319_SE,GSM300320,GSM300320_SE,GSM300321,GSM300321_SE,GSM300322,GSM300322_SE,GSM300323,GSM300323_SE,GSM300324,GSM300324_SE,GSM300325,GSM300325_SE,GSM300326,GSM300326_SE,GSM300327,GSM300327_SE,GSM300328,GSM300328_SE,GSM300329,GSM300329_SE,GSM300330,GSM300330_SE,GSM300331,GSM300331_SE,GSM300332,GSM300332_SE,GSM300333,GSM300333_SE,GSM300335,GSM300335_SE,GSM300338,GSM300338_SE,GSM300339,GSM300339_SE,GSM300340,GSM300340_SE,GSM300341,GSM300341_SE,GSM318840,GSM318840_SE,GSM350078,GSM350078_SE
1,https://genenetwork.org/show_trait?trait_id=220266_s_at&dataset=UCI_HC_0913,human,Aging-Brain-UCI,UCI_HC_0913,220266_s_at,KLF4,Kruppel-like factor 4 (gut),,N/A,9,109.287815,KLF4,9314,N/A,Hs.376206,-,0.0,0.0,109.287815,109.29175,,,,,,7.931116259375284,x,x,x,x,7.626,,7.853,,7.783,,8.935,,7.953,,x,x,8.103,,x,x,x,x,x,x,8.176,,x,x,x,x,x,x,7.378,,x,x,7.58,,x,x,7.637,,x,x,x,x,7.974,,x,x,x,x,8.501,,x,x,x,x,x,x,8.148,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.526,,x,x,x,x,x,x,7.22,,x,x,x,x,x,x,x,x,x,x,7.371,,x,x,x,x,x,x,7.771,,x,x,x,x,x,x,7.764,,x,x,x,x,x,x,9.038,,x,x,x,x,x,x,7.732,,x,x,x,x,x,x,7.897,,x,x,x,x,x,x,8.16,,x,x,x,x,x,x,7.332,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.141,,x,x,x,x,x,x,x,x,x,x,7.901,,x,x,x,x,x,x,x,x,x,x,7.568,,x,x,x,x,x,x,8.272,,x,x,x,x,x,x,7.853,,x,x,x,x,x,x,8.031,,x,x,x,x,x,x,x,x,x,x,8.047,,x,x,x,x,x,x,7.696,,x,x,x,x,x,x,8.257,,x,x,x,x,x,x,7.369,,x,x,x,x,8.107,,x,x,x,x,x,x,8.088,,x,x,x,x,x,x,7.845,,x,x,x,x,x,x,8.176,,x,x,x,x,x,x,8.194,,x,x,x,x,x,x,7.717,,x,x,x,x,x,x,8.217,,x,x,x,x,x,x,8.228,,x,x,x,x,x,x,7.967,,x,x,x,x,7.906,,x,x,x,x,x,x,x,x
2,https://genenetwork.org/show_trait?trait_id=221841_s_at&dataset=UCI_HC_0913,human,Aging-Brain-UCI,UCI_HC_0913,221841_s_at,KLF4,Kruppel-like factor 4 (gut),,N/A,9,109.286955,KLF4,9314,N/A,Hs.376206,-,0.0,0.0,109.286955,109.290527,,,,,,8.953883758811063,x,x,x,x,8.8,,9.078,,9.236,,10.479,,9.377,,x,x,9.298,,x,x,x,x,x,x,9.513,,x,x,x,x,x,x,8.409,,x,x,9.22,,x,x,9.034,,x,x,x,x,8.851,,x,x,x,x,9.9,,x,x,x,x,x,x,9.141,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.747,,x,x,x,x,x,x,7.752,,x,x,x,x,x,x,x,x,x,x,8.025,,x,x,x,x,x,x,9.085,,x,x,x,x,x,x,9.029,,x,x,x,x,x,x,11.174,,x,x,x,x,x,x,8.313,,x,x,x,x,x,x,8.654,,x,x,x,x,x,x,9.126,,x,x,x,x,x,x,7.868,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9.05,,x,x,x,x,x,x,x,x,x,x,8.977,,x,x,x,x,x,x,x,x,x,x,8.089,,x,x,x,x,x,x,9.384,,x,x,x,x,x,x,8.536,,x,x,x,x,x,x,9.173,,x,x,x,x,x,x,x,x,x,x,9.211,,x,x,x,x,x,x,8.286,,x,x,x,x,x,x,9.228,,x,x,x,x,x,x,8.124,,x,x,x,x,8.822,,x,x,x,x,x,x,9.35,,x,x,x,x,x,x,8.667,,x,x,x,x,x,x,9.27,,x,x,x,x,x,x,8.829,,x,x,x,x,x,x,8.349,,x,x,x,x,x,x,9.218,,x,x,x,x,x,x,9.216,,x,x,x,x,x,x,9.002,,x,x,x,x,9.127,,x,x,x,x,x,x,x,x
3,https://genenetwork.org/show_trait?trait_id=220266_s_at&dataset=UCI_PCG_0913,human,Aging-Brain-UCI,UCI_PCG_0913,220266_s_at,KLF4,Kruppel-like factor 4 (gut),,N/A,9,109.287815,KLF4,9314,N/A,Hs.376206,-,0.0,0.0,109.287815,109.29175,,,,,,7.745604659235755,8.045,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.99,,x,x,x,x,x,x,8.075,,x,x,x,x,x,x,7.133,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.549,,x,x,x,x,x,x,8.147,,x,x,7.424,,x,x,8.04,,x,x,x,x,x,x,8.183,,x,x,x,x,x,x,7.324,,x,x,7.118,,x,x,x,x,x,x,7.109,,x,x,x,x,x,x,8.335,,x,x,x,x,x,x,7.42,,x,x,7.77,,x,x,x,x,x,x,x,x,x,x,7.687,,x,x,x,x,x,x,7.181,,x,x,x,x,x,x,7.265,,x,x,x,x,x,x,7.683,,x,x,8.422,,x,x,x,x,8.538,,x,x,x,x,x,x,7.828,,x,x,x,x,7.544,,x,x,7.554,,x,x,x,x,x,x,8.129,,x,x,7.048,,x,x,x,x,x,x,7.5,,x,x,x,x,x,x,7.393,,x,x,x,x,x,x,7.217,,x,x,x,x,x,x,8.645,,x,x,8.177,,x,x,x,x,x,x,8.221,,x,x,x,x,x,x,7.465,,x,x,x,x,x,x,7.757,,x,x,x,x,x,x,x,x,x,x,x,x,7.442,,x,x,x,x,x,x,8.614,,x,x,x,x,x,x,7.499,,x,x,x,x,x,x,8.079,,x,x,x,x,x,x,7.478,,x,x,x,x,x,x,7.635,,x,x,x,x,x,x,7.878,,x,x,x,x,x,x,7.876,,x,x,x,x,x,x,x,x,x,x,x,x,7.644,,x,x,x,x,x,x
4,https://genenetwork.org/show_trait?trait_id=221841_s_at&dataset=UCI_PCG_0913,human,Aging-Brain-UCI,UCI_PCG_0913,221841_s_at,KLF4,Kruppel-like factor 4 (gut),,N/A,9,109.286955,KLF4,9314,N/A,Hs.376206,-,0.0,0.0,109.286955,109.290527,,,,,,8.38467438276424,8.609,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9.182,,x,x,x,x,x,x,8.931,,x,x,x,x,x,x,7.036,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.315,,x,x,x,x,x,x,8.893,,x,x,8.198,,x,x,8.975,,x,x,x,x,x,x,9.297,,x,x,x,x,x,x,7.554,,x,x,7.74,,x,x,x,x,x,x,7.875,,x,x,x,x,x,x,9.354,,x,x,x,x,x,x,7.968,,x,x,8.647,,x,x,x,x,x,x,x,x,x,x,8.576,,x,x,x,x,x,x,7.664,,x,x,x,x,x,x,7.718,,x,x,x,x,x,x,8.07,,x,x,9.29,,x,x,x,x,9.839,,x,x,x,x,x,x,8.475,,x,x,x,x,8.137,,x,x,7.671,,x,x,x,x,x,x,8.87,,x,x,7.226,,x,x,x,x,x,x,7.996,,x,x,x,x,x,x,8.094,,x,x,x,x,x,x,7.525,,x,x,x,x,x,x,10.049,,x,x,8.989,,x,x,x,x,x,x,8.551,,x,x,x,x,x,x,8.123,,x,x,x,x,x,x,8.312,,x,x,x,x,x,x,x,x,x,x,x,x,8.091,,x,x,x,x,x,x,9.765,,x,x,x,x,x,x,8.05,,x,x,x,x,x,x,8.818,,x,x,x,x,x,x,7.686,,x,x,x,x,x,x,7.197,,x,x,x,x,x,x,8.577,,x,x,x,x,x,x,8.273,,x,x,x,x,x,x,x,x,x,x,x,x,8.335,,x,x,x,x,x,x
5,https://genenetwork.org/show_trait?trait_id=220266_s_at&dataset=UCI_EC_0913,human,Aging-Brain-UCI,UCI_EC_0913,220266_s_at,KLF4,Kruppel-like factor 4 (gut),,N/A,9,109.287815,KLF4,9314,N/A,Hs.376206,-,0.0,0.0,109.287815,109.29175,,,,,,7.870051249479636,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.357,,x,x,x,x,x,x,8.47,,x,x,x,x,x,x,7.537,,x,x,x,x,x,x,7.969,,x,x,x,x,7.785,,x,x,x,x,7.79,,x,x,x,x,x,x,8.398,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.7,,x,x,x,x,x,x,7.376,,x,x,x,x,x,x,x,x,x,x,7.197,,x,x,x,x,x,x,7.834,,x,x,x,x,x,x,7.663,,x,x,x,x,x,x,x,x,x,x,7.917,,x,x,7.601,,x,x,x,x,x,x,7.556,,x,x,x,x,x,x,7.153,,x,x,x,x,x,x,7.219,,x,x,x,x,x,x,x,x,x,x,8.878,,x,x,x,x,x,x,9.313,,x,x,x,x,x,x,x,x,7.448,,x,x,x,x,7.596,,x,x,x,x,x,x,x,x,x,x,7.637,,x,x,x,x,x,x,7.72,,x,x,x,x,x,x,7.305,,x,x,x,x,x,x,8.544,,x,x,x,x,x,x,x,x,x,x,8.575,,x,x,x,x,x,x,7.299,,x,x,x,x,x,x,7.954,,x,x,x,x,x,x,7.674,,x,x,x,x,7.971,,x,x,x,x,x,x,8.177,,x,x,x,x,x,x,8.932,,x,x,x,x,x,x,8.169,,x,x,x,x,x,x,7.569,,x,x,x,x,x,x,7.652,,x,x,x,x,x,x,7.934,,x,x,x,x,x,x,7.605,,x,x,x,x,x,x,7.643,,x,x,x,x,7.815,,x,x,x,x,x,x,x,x,x,x
6,https://genenetwork.org/show_trait?trait_id=221841_s_at&dataset=UCI_EC_0913,human,Aging-Brain-UCI,UCI_EC_0913,221841_s_at,KLF4,Kruppel-like factor 4 (gut),,N/A,9,109.286955,KLF4,9314,N/A,Hs.376206,-,0.0,0.0,109.286955,109.290527,,,,,,8.667666667546982,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9.205,,x,x,x,x,x,x,9.368,,x,x,x,x,x,x,8.62,,x,x,x,x,x,x,9.135,,x,x,x,x,8.932,,x,x,x,x,8.136,,x,x,x,x,x,x,9.738,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.404,,x,x,x,x,x,x,7.765,,x,x,x,x,x,x,x,x,x,x,8.107,,x,x,x,x,x,x,9.248,,x,x,x,x,x,x,7.935,,x,x,x,x,x,x,x,x,x,x,8.583,,x,x,8.591,,x,x,x,x,x,x,7.989,,x,x,x,x,x,x,7.886,,x,x,x,x,x,x,7.264,,x,x,x,x,x,x,x,x,x,x,10.62,,x,x,x,x,x,x,10.695,,x,x,x,x,x,x,x,x,7.066,,x,x,x,x,8.798,,x,x,x,x,x,x,x,x,x,x,8.389,,x,x,x,x,x,x,8.414,,x,x,x,x,x,x,7.368,,x,x,x,x,x,x,9.701,,x,x,x,x,x,x,x,x,x,x,9.717,,x,x,x,x,x,x,7.132,,x,x,x,x,x,x,8.857,,x,x,x,x,x,x,8.06,,x,x,x,x,8.937,,x,x,x,x,x,x,8.966,,x,x,x,x,x,x,10.755,,x,x,x,x,x,x,8.752,,x,x,x,x,x,x,7.487,,x,x,x,x,x,x,8.768,,x,x,x,x,x,x,8.99,,x,x,x,x,x,x,8.699,,x,x,x,x,x,x,8.42,,x,x,x,x,8.542,,x,x,x,x,x,x,x,x,x,x
7,https://genenetwork.org/show_trait?trait_id=220266_s_at&dataset=UCI_SG_0913,human,Aging-Brain-UCI,UCI_SG_0913,220266_s_at,KLF4,Kruppel-like factor 4 (gut),,N/A,9,109.287815,KLF4,9314,N/A,Hs.376206,-,0.0,0.0,109.287815,109.29175,,,,,,7.877250015735626,x,x,8.062,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.447,,x,x,x,x,x,x,7.618,,x,x,x,x,x,x,x,x,x,x,x,x,7.8,,x,x,x,x,8.141,,x,x,x,x,x,x,7.957,,x,x,x,x,x,x,8.062,,x,x,7.597,,x,x,8.051,,x,x,x,x,x,x,8.281,,x,x,x,x,x,x,7.514,,x,x,9.679,,x,x,x,x,x,x,8.488,,x,x,x,x,x,x,8.254,,x,x,x,x,x,x,7.519,,x,x,x,x,x,x,7.254,,x,x,x,x,x,x,7.803,,x,x,x,x,x,x,6.995,,x,x,x,x,x,x,7.368,,x,x,x,x,x,x,9.597,,x,x,9.153,,x,x,x,x,8.711,,8.18,,x,x,x,x,7.468,,x,x,x,x,x,x,x,x,7.609,,x,x,x,x,x,x,7.682,,x,x,7.294,,x,x,x,x,x,x,7.187,,x,x,x,x,x,x,7.915,,x,x,x,x,x,x,7.276,,x,x,x,x,x,x,8.518,,x,x,7.978,,x,x,x,x,x,x,7.162,,x,x,x,x,x,x,7.559,,x,x,x,x,x,x,8.013,,x,x,x,x,8.138,,x,x,x,x,x,x,7.64,,x,x,x,x,x,x,8.244,,x,x,x,x,x,x,7.48,,x,x,x,x,x,x,7.375,,x,x,x,x,x,x,7.092,,x,x,x,x,x,x,7.784,,x,x,x,x,x,x,7.846,,x,x,x,x,x,x,7.585,,x,x,x,x,7.623,,x,x,x,x,x,x,7.65,,9.564,,6.895,
8,https://genenetwork.org/show_trait?trait_id=221841_s_at&dataset=UCI_SG_0913,human,Aging-Brain-UCI,UCI_SG_0913,221841_s_at,KLF4,Kruppel-like factor 4 (gut),,N/A,9,109.286955,KLF4,9314,N/A,Hs.376206,-,0.0,0.0,109.286955,109.290527,,,,,,8.670979112386703,x,x,8.913,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.23,,x,x,x,x,x,x,8.572,,x,x,x,x,x,x,x,x,x,x,x,x,8.686,,x,x,x,x,9.146,,x,x,x,x,x,x,9.131,,x,x,x,x,x,x,8.954,,x,x,8.215,,x,x,8.763,,x,x,x,x,x,x,9.144,,x,x,x,x,x,x,8.322,,x,x,11.094,,x,x,x,x,x,x,10.179,,x,x,x,x,x,x,9.467,,x,x,x,x,x,x,7.841,,x,x,x,x,x,x,8.162,,x,x,x,x,x,x,8.79,,x,x,x,x,x,x,7.201,,x,x,x,x,x,x,7.782,,x,x,x,x,x,x,10.835,,x,x,10.552,,x,x,x,x,9.787,,8.551,,x,x,x,x,8.37,,x,x,x,x,x,x,x,x,7.926,,x,x,x,x,x,x,8.287,,x,x,7.248,,x,x,x,x,x,x,6.96,,x,x,x,x,x,x,8.649,,x,x,x,x,x,x,7.774,,x,x,x,x,x,x,9.72,,x,x,8.535,,x,x,x,x,x,x,8.366,,x,x,x,x,x,x,7.773,,x,x,x,x,x,x,8.911,,x,x,x,x,9.235,,x,x,x,x,x,x,7.98,,x,x,x,x,x,x,9.098,,x,x,x,x,x,x,8.4,,x,x,x,x,x,x,8.403,,x,x,x,x,x,x,7.402,,x,x,x,x,x,x,8.33,,x,x,x,x,x,x,8.891,,x,x,x,x,x,x,8.161,,x,x,x,x,8.663,,x,x,x,x,x,x,8.475,,11.342,,6.991,
9,https://genenetwork.org/show_trait?trait_id=204802_at&dataset=UCI_HC_0913,human,Aging-Brain-UCI,UCI_HC_0913,204802_at,RRAD,Ras-related associated with diabetes,,N/A,16,65.513088,RRAD,6236,N/A,Hs.1027,-,0.0,0.0,65.513088,65.51692,,,,,,7.013953463975773,x,x,x,x,8.065,,7.448,,7.221,,7.835,,7.766,,x,x,6.785,,x,x,x,x,x,x,6.212,,x,x,x,x,x,x,6.632,,x,x,7.266,,x,x,6.715,,x,x,x,x,6.923,,x,x,x,x,7.045,,x,x,x,x,x,x,8.657,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6.294,,x,x,x,x,x,x,6.573,,x,x,x,x,x,x,x,x,x,x,6.992,,x,x,x,x,x,x,6.969,,x,x,x,x,x,x,7.108,,x,x,x,x,x,x,8.022,,x,x,x,x,x,x,6.839,,x,x,x,x,x,x,7.15,,x,x,x,x,x,x,6.388,,x,x,x,x,x,x,7.558,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.065,,x,x,x,x,x,x,x,x,x,x,6.871,,x,x,x,x,x,x,x,x,x,x,6.981,,x,x,x,x,x,x,7.298,,x,x,x,x,x,x,7.093,,x,x,x,x,x,x,7.001,,x,x,x,x,x,x,x,x,x,x,6.908,,x,x,x,x,x,x,6.729,,x,x,x,x,x,x,6.44,,x,x,x,x,x,x,6.432,,x,x,x,x,7.589,,x,x,x,x,x,x,6.83,,x,x,x,x,x,x,6.925,,x,x,x,x,x,x,6.648,,x,x,x,x,x,x,6.69,,x,x,x,x,x,x,6.785,,x,x,x,x,x,x,6.608,,x,x,x,x,x,x,6.785,,x,x,x,x,x,x,7.038,,x,x,x,x,6.421,,x,x,x,x,x,x,x,x
10,https://genenetwork.org/show_trait?trait_id=204803_s_at&dataset=UCI_HC_0913,human,Aging-Brain-UCI,UCI_HC_0913,204803_s_at,RRAD,Ras-related associated with diabetes,,N/A,16,65.513088,RRAD,6236,N/A,Hs.1027,-,0.0,0.0,65.513088,65.51692,,,,,,7.8114417985428215,x,x,x,x,8.91,,7.883,,7.906,,8.444,,8.628,,x,x,7.531,,x,x,x,x,x,x,7.326,,x,x,x,x,x,x,7.411,,x,x,8.177,,x,x,7.673,,x,x,x,x,8.106,,x,x,x,x,7.495,,x,x,x,x,x,x,9.05,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.445,,x,x,x,x,x,x,7.648,,x,x,x,x,x,x,x,x,x,x,7.694,,x,x,x,x,x,x,7.706,,x,x,x,x,x,x,7.874,,x,x,x,x,x,x,8.683,,x,x,x,x,x,x,7.719,,x,x,x,x,x,x,8.167,,x,x,x,x,x,x,7.648,,x,x,x,x,x,x,7.891,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.025,,x,x,x,x,x,x,x,x,x,x,7.598,,x,x,x,x,x,x,x,x,x,x,7.666,,x,x,x,x,x,x,8.148,,x,x,x,x,x,x,7.87,,x,x,x,x,x,x,7.858,,x,x,x,x,x,x,x,x,x,x,7.5,,x,x,x,x,x,x,7.548,,x,x,x,x,x,x,7.421,,x,x,x,x,x,x,7.672,,x,x,x,x,8.006,,x,x,x,x,x,x,7.697,,x,x,x,x,x,x,7.841,,x,x,x,x,x,x,7.542,,x,x,x,x,x,x,7.626,,x,x,x,x,x,x,7.475,,x,x,x,x,x,x,7.217,,x,x,x,x,x,x,7.432,,x,x,x,x,x,x,7.419,,x,x,x,x,7.316,,x,x,x,x,x,x,x,x
