"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,B6.01,B6.01_SE,B6.02,B6.02_SE,B6.03,B6.03_SE,B6.04,B6.04_SE,B6.05,B6.05_SE,B6.06,B6.06_SE,B6.07,B6.07_SE,B6.08,B6.08_SE,B6.09,B6.09_SE,B6.10,B6.10_SE,B6.11,B6.11_SE,B6.12,B6.12_SE,B6.13,B6.13_SE,B6.14,B6.14_SE,B6.15,B6.15_SE,B6.16,B6.16_SE,B6.17,B6.17_SE,D2.01,D2.01_SE,D2.02,D2.02_SE,D2.03,D2.03_SE,D2.04,D2.04_SE,D2.05,D2.05_SE,D2.06,D2.06_SE,D2.07,D2.07_SE,D2.08,D2.08_SE,D2.09,D2.09_SE,D2.10,D2.10_SE,D2.11,D2.11_SE,D2.12,D2.12_SE,D2.13,D2.13_SE,D2.14,D2.14_SE,D2.15,D2.15_SE,D2.16,D2.16_SE,D2GP.01,D2GP.01_SE,D2GP.02,D2GP.02_SE,D2GP.03,D2GP.03_SE,D2GP.04,D2GP.04_SE,D2GP.05,D2GP.05_SE,D2GP.06,D2GP.06_SE,D2GP.07,D2GP.07_SE,D2GP.08,D2GP.08_SE,D2GP.09,D2GP.09_SE,D2GP.10,D2GP.10_SE,D2GP.11,D2GP.11_SE,D2GP.12,D2GP.12_SE
1,https://genenetwork.org/show_trait?trait_id=10581152&dataset=UTHSC_mm9_B6D2_RetEx_0916,mouse,B6D2,UTHSC_mm9_B6D2_RetEx_0916,10581152,Rrad,Ras-related associated with diabetes,,N/A,8,104.628175,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.628175,104.628405,,,,,,6.369600020514595,6.117,,6.314,,6.571,,6.262,,7.073,,6.453,,6.312,,6.215,,6.048,,6.125,,5.744,,6.294,,6.773,,6.512,,6.584,,5.957,,6.288,,7.145,,6.516,,6.822,,6.638,,6.462,,6.816,,6.019,,6.603,,6.033,,6.165,,6.581,,5.797,,6.112,,6.129,,6.045,,6.254,,6.39,,6.699,,6.387,,5.905,,6.331,,6.737,,6.724,,5.741,,6.511,,6.446,,6.352,,6.63,
2,https://genenetwork.org/show_trait?trait_id=10581153&dataset=UTHSC_mm9_B6D2_RetEx_0916,mouse,B6D2,UTHSC_mm9_B6D2_RetEx_0916,10581153,Rrad,Ras-related associated with diabetes,,N/A,8,104.628451,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.628451,104.628694,,,,,,8.060555564032661,7.613,,7.936,,8.066,,8.158,,8.271,,8.254,,7.859,,7.741,,7.885,,7.925,,7.983,,8.777,,8.115,,7.737,,8.231,,7.846,,7.929,,8.304,,8.438,,8.396,,8.323,,8.331,,8.68,,8.076,,7.98,,8.132,,7.967,,7.875,,7.599,,7.817,,7.895,,7.676,,8.353,,7.942,,8.402,,8.075,,8.43,,8.115,,8.141,,8.052,,8.04,,7.981,,7.892,,7.63,,7.857,
3,https://genenetwork.org/show_trait?trait_id=10581154&dataset=UTHSC_mm9_B6D2_RetEx_0916,mouse,B6D2,UTHSC_mm9_B6D2_RetEx_0916,10581154,Rrad,Ras-related associated with diabetes,,N/A,8,104.629535,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.629535,104.62967,,,,,,7.871911101871067,7.806,,7.883,,7.627,,7.679,,7.865,,8.094,,7.747,,7.836,,7.457,,8.148,,7.912,,8.317,,8.305,,7.627,,7.426,,7.615,,7.673,,7.896,,8.064,,7.574,,7.421,,7.8,,8.266,,7.951,,7.991,,8.002,,7.544,,8.269,,7.752,,7.991,,7.626,,7.683,,8.238,,7.917,,8.095,,7.977,,7.863,,8.037,,7.914,,7.717,,8.056,,8.021,,7.907,,7.94,,7.707,
4,https://genenetwork.org/show_trait?trait_id=10581155&dataset=UTHSC_mm9_B6D2_RetEx_0916,mouse,B6D2,UTHSC_mm9_B6D2_RetEx_0916,10581155,Rrad,Ras-related associated with diabetes,,N/A,8,104.629831,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.629831,104.629899,,,,,,4.352022208107842,4.838,,4.194,,4.842,,4.278,,3.59,,4.479,,4.317,,4.373,,4.269,,4.215,,3.405,,4.644,,4.552,,4.599,,4.141,,4.921,,4.541,,4.874,,4.015,,4.511,,3.989,,3.865,,3.699,,4.106,,4.078,,4.473,,4.634,,4.635,,4.186,,4.688,,4.437,,4.759,,4.285,,4.651,,4.388,,4.405,,3.523,,4.69,,4.484,,4.082,,4.431,,4.321,,4.049,,4.673,,4.712,
5,https://genenetwork.org/show_trait?trait_id=10581156&dataset=UTHSC_mm9_B6D2_RetEx_0916,mouse,B6D2,UTHSC_mm9_B6D2_RetEx_0916,10581156,Rrad,Ras-related associated with diabetes,,N/A,8,104.630564,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.630564,104.630786,,,,,,5.9993778122795955,6.043,,6.362,,6.081,,6.156,,6.411,,6.033,,5.928,,5.774,,6.133,,5.98,,6.431,,6.233,,5.892,,5.931,,5.949,,5.937,,6.025,,6.269,,5.822,,6.393,,5.354,,6.322,,5.829,,5.262,,5.781,,6.054,,5.449,,6.128,,5.849,,5.867,,5.735,,5.922,,5.965,,6.149,,6.005,,6.17,,6.75,,5.931,,6.081,,5.729,,6.067,,6.131,,5.668,,6.136,,5.855,
6,https://genenetwork.org/show_trait?trait_id=10581157&dataset=UTHSC_mm9_B6D2_RetEx_0916,mouse,B6D2,UTHSC_mm9_B6D2_RetEx_0916,10581157,Rrad,Ras-related associated with diabetes,,N/A,8,104.630947,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.630947,104.63098,,,,,,6.9988666534423825,6.872,,7.133,,6.733,,6.964,,6.2,,7.113,,7.041,,7.03,,7.223,,7.023,,7.246,,7.266,,7.498,,7.228,,7.419,,7.248,,6.97,,7.041,,7.03,,7.1,,6.935,,6.7,,7.237,,6.52,,6.853,,6.705,,6.888,,6.927,,6.798,,7.011,,7.217,,6.881,,6.993,,6.835,,6.97,,7.085,,7.18,,6.918,,6.766,,6.815,,7.037,,7.185,,6.891,,7.303,,6.921,
7,https://genenetwork.org/show_trait?trait_id=10581158&dataset=UTHSC_mm9_B6D2_RetEx_0916,mouse,B6D2,UTHSC_mm9_B6D2_RetEx_0916,10581158,Rrad,Ras-related associated with diabetes,,N/A,8,104.631141,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.631141,104.631239,,,,,,4.896555550893148,4.734,,4.982,,4.949,,3.899,,4.133,,4.586,,5.158,,5.187,,4.83,,5.296,,5.287,,5.565,,5.415,,4.765,,5.186,,4.76,,4.21,,4.947,,5.287,,4.324,,4.742,,5.626,,4.72,,4.66,,4.792,,5.567,,4.916,,5.104,,4.794,,4.218,,5.238,,5.316,,5.421,,4.486,,5.229,,5.229,,3.931,,5.309,,5.094,,4.892,,4.856,,4.149,,4.907,,5.103,,4.546,
8,https://genenetwork.org/show_trait?trait_id=10581151&dataset=UTHSC_mm9_B6D2_Ret_0916,mouse,B6D2,UTHSC_mm9_B6D2_Ret_0916,10581151,Rrad,Ras-related associated with diabetes,,N/A,8,104.628066,"Rrad, REM3, Rad",56437,N/A,,-,0.0,0.0,104.628066,104.631321,,,,,,7.18471113840739,7.006,,7.089,,7.287,,7.009,,6.63,,7.219,,7.141,,7.248,,7.098,,7.225,,7.25,,7.375,,7.264,,7.21,,7.109,,7.176,,7.222,,7.335,,7.213,,7.112,,6.962,,7.155,,7.279,,6.965,,7.166,,7.355,,7.12,,7.322,,7.064,,7.21,,7.274,,7.128,,7.394,,7.169,,7.222,,7.216,,7.015,,7.401,,7.315,,7.073,,7.248,,7.23,,7.09,,7.477,,7.244,
9,https://genenetwork.org/show_trait?trait_id=10513009&dataset=UTHSC_mm9_B6D2_RetEx_0916,mouse,B6D2,UTHSC_mm9_B6D2_RetEx_0916,10513009,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor)",,N/A,4,55.527678,"Klf4, RP23-322L22.2, EZF, Gklf, Zie",16600,N/A,,-,0.0,0.0,55.527678,55.527865,,,,,,5.313444455464681,4.643,,5.047,,4.753,,4.776,,6.524,,5.258,,4.573,,4.748,,3.999,,5.411,,5.384,,4.703,,4.682,,4.844,,4.126,,5.631,,5.793,,5.058,,5.151,,6.144,,5.006,,3.725,,6.421,,4.86,,5.361,,4.562,,4.882,,6.046,,4.751,,5.899,,6.138,,5.884,,5.986,,5.169,,4.979,,6.343,,6.359,,5.323,,5.072,,5.718,,6.644,,5.688,,4.419,,6.711,,5.911,
10,https://genenetwork.org/show_trait?trait_id=10513010&dataset=UTHSC_mm9_B6D2_RetEx_0916,mouse,B6D2,UTHSC_mm9_B6D2_RetEx_0916,10513010,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor)",,N/A,4,55.528116,"Klf4, RP23-322L22.2, EZF, Gklf, Zie",16600,N/A,,-,0.0,0.0,55.528116,55.52829,,,,,,6.267488871680365,5.092,,5.927,,5.742,,5.53,,7.173,,6.532,,5.564,,6.205,,5.679,,5.939,,6.589,,7.213,,6.184,,5.896,,6.064,,6.217,,5.969,,6.542,,6.986,,6.472,,6.528,,6.725,,6.858,,6.882,,6.055,,6.468,,5.751,,5.825,,6.468,,6.293,,6.062,,6.015,,6.132,,6.464,,6.878,,6.506,,7.193,,5.96,,5.933,,6.719,,6.366,,6.249,,5.986,,6.207,,5.999,
