"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,BN-Lx/Cub,BN-Lx/Cub_SE,SHR/OlaIpcv,SHR/OlaIpcv_SE,SHR_BNF1,SHR_BNF1_SE,BN_SHRF1,BN_SHRF1_SE,BXH2,BXH2_SE,BXH3,BXH3_SE,BXH5,BXH5_SE,BXH6,BXH6_SE,BXH8,BXH8_SE,BXH9,BXH9_SE,BXH10,BXH10_SE,BXH11,BXH11_SE,BXH12,BXH12_SE,BXH12a,BXH12a_SE,BXH13,BXH13_SE,HXB1,HXB1_SE,HXB2,HXB2_SE,HXB3,HXB3_SE,HXB4,HXB4_SE,HXB5,HXB5_SE,HXB7,HXB7_SE,HXB9,HXB9_SE,HXB10,HXB10_SE,HXB13,HXB13_SE,HXB14,HXB14_SE,HXB15,HXB15_SE,HXB16,HXB16_SE,HXB17,HXB17_SE,HXB18,HXB18_SE,HXB19,HXB19_SE,HXB20,HXB20_SE,HXB21,HXB21_SE,HXB22,HXB22_SE,HXB23,HXB23_SE,HXB24,HXB24_SE,HXB25,HXB25_SE,HXB26,HXB26_SE,HXB27,HXB27_SE,HXB29,HXB29_SE,HXB30,HXB30_SE,HXB31,HXB31_SE,F344/Stm,F344/Stm_SE,FXLE12/Stm,FXLE12/Stm_SE,FXLE13/Stm,FXLE13/Stm_SE,FXLE14/Stm,FXLE14/Stm_SE,FXLE15/Stm,FXLE15/Stm_SE,FXLE16/Stm,FXLE16/Stm_SE,FXLE17/Stm,FXLE17/Stm_SE,FXLE18/Stm,FXLE18/Stm_SE,FXLE19/Stm,FXLE19/Stm_SE,FXLE20/Stm,FXLE20/Stm_SE,FXLE21/Stm,FXLE21/Stm_SE,FXLE22/Stm,FXLE22/Stm_SE,FXLE23/Stm,FXLE23/Stm_SE,FXLE24/Stm,FXLE24/Stm_SE,FXLE25/Stm,FXLE25/Stm_SE,FXLE26/Stm,FXLE26/Stm_SE,LEXF10B/Stm,LEXF10B/Stm_SE,LEXF10C/Stm,LEXF10C/Stm_SE,LEXF11/Stm,LEXF11/Stm_SE,LEXF1A/Stm,LEXF1A/Stm_SE,LEXF1C/Stm,LEXF1C/Stm_SE,LEXF2A/Stm,LEXF2A/Stm_SE,LEXF2B/Stm,LEXF2B/Stm_SE,LEXF2C/Stm,LEXF2C/Stm_SE,LEXF3/Stm,LEXF3/Stm_SE,LEXF4/Stm,LEXF4/Stm_SE,LEXF5/Stm,LEXF5/Stm_SE,LEXF6B/Stm,LEXF6B/Stm_SE,LEXF7A/Stm,LEXF7A/Stm_SE,LEXF7B/Stm,LEXF7B/Stm_SE,LEXF7C/Stm,LEXF7C/Stm_SE,LEXF8A/Stm,LEXF8A/Stm_SE,LEXF8D/Stm,LEXF8D/Stm_SE,LEXF9/Stm,LEXF9/Stm_SE,LE/Stm,LE/Stm_SE,LEXF10A/Stm,LEXF10A/Stm_SE,BN-Lx/Cub,BN-Lx/Cub_SE,BXH10/Cub,BXH10/Cub_SE,BXH11/Cub,BXH11/Cub_SE,BXH12/Cub,BXH12/Cub_SE,BXH13/Cub,BXH13/Cub_SE,BXH2/Cub,BXH2/Cub_SE,BXH3/Cub,BXH3/Cub_SE,BXH5/Cub,BXH5/Cub_SE,BXH6/Cub,BXH6/Cub_SE,BXH8/Cub,BXH8/Cub_SE,BXH9/Cub,BXH9/Cub_SE,HXB10/Ipcv,HXB10/Ipcv_SE,HXB13/Ipcv,HXB13/Ipcv_SE,HXB15/Ipcv,HXB15/Ipcv_SE,HXB17/Ipcv,HXB17/Ipcv_SE,HXB18/Ipcv,HXB18/Ipcv_SE,HXB1/Ipcv,HXB1/Ipcv_SE,HXB20/Ipcv,HXB20/Ipcv_SE,HXB21/Ipcv,HXB21/Ipcv_SE,HXB22/Ipcv,HXB22/Ipcv_SE,HXB23/Ipcv,HXB23/Ipcv_SE,HXB24/Ipcv,HXB24/Ipcv_SE,HXB25/Ipcv,HXB25/Ipcv_SE,HXB27/Ipcv,HXB27/Ipcv_SE,HXB29/Ipcv,HXB29/Ipcv_SE,HXB2/Ipcv,HXB2/Ipcv_SE,HXB31/Ipcv,HXB31/Ipcv_SE,HXB3/Ipcv,HXB3/Ipcv_SE,HXB4/Ipcv,HXB4/Ipcv_SE,HXB5/Ipcv,HXB5/Ipcv_SE,HXB7/Ipcv,HXB7/Ipcv_SE,SHR/OlaIpcv,SHR/OlaIpcv_SE,ACI/EurMcwi,ACI/EurMcwi_SE,ACI/N,ACI/N_SE,BDIX/NemOda,BDIX/NemOda_SE,BN/Crl,BN/Crl_SE,BN/HsdShulRrrc,BN/HsdShulRrrc_SE,BN/SsN,BN/SsN_SE,BN/NHsdMcwi,BN/NHsdMcwi_SE,BN/RijHsd,BN/RijHsd_SE,BUF/Mna,BUF/Mna_SE,BUF/N,BUF/N_SE,DA/OlaHsd,DA/OlaHsd_SE,MHS/Gib,MHS/Gib_SE,MNS/Gib,MNS/Gib_SE,SBH/Ygl,SBH/Ygl_SE,SBN/Ygl,SBN/Ygl_SE,SHRSP/Gla,SHRSP/Gla_SE,SR/Jr,SR/Jr_SE,SS/Jr,SS/Jr_SE,WAG/Rij,WAG/Rij_SE,F344/DuCrl,F344/DuCrl_SE,F344/N,F344/N_SE,F344/NCrl,F344/NCrl_SE,F344/NHsd,F344/NHsd_SE,FHH/EurMcw,FHH/EurMcw_SE,GK/FarMcwi,GK/FarMcwi_SE,LEW/Crl,LEW/Crl_SE,LH/MavRrrc,LH/MavRrrc_SE,LL/MavRrrc,LL/MavRrrc_SE,LN/MavRrrc,LN/MavRrrc_SE,M520/N,M520/N_SE,M520/NrrrcMcwi,M520/NrrrcMcwi_SE,MR/N,MR/N_SE,MWF/Hsd,MWF/Hsd_SE,PVG/Seac,PVG/Seac_SE,RCS/LavRrrc,RCS/LavRrrc_SE,SHRSP/A3NCrl,SHRSP/A3NCrl_SE,SHR/NCrl,SHR/NCrl_SE,SHR/NHsd,SHR/NHsd_SE,SR/JrHsd,SR/JrHsd_SE,SS/HsdMcwiCrl,SS/HsdMcwiCrl_SE,SS/JrHsdMcwi,SS/JrHsdMcwi_SE,SS/JrHsd,SS/JrHsd_SE,WAG/RijCrl,WAG/RijCrl_SE,WKY/N,WKY/N_SE,WKY/NCrl,WKY/NCrl_SE,WKY/NHsd,WKY/NHsd_SE,WN/N,WN/N_SE,LEW/SsNHsd,LEW/SsNHsd_SE,WLI/Eer,WLI/Eer_SE,WMI/Eer,WMI/Eer_SE,HXB10WMIF1,HXB10WMIF1_SE,SHRIpcvBNMcwiF1,SHRIpcvBNMcwiF1_SE,SSMcwiSHRIpcvF1,SSMcwiSHRIpcvF1_SE,SSMcwiWLIF1,SSMcwiWLIF1_SE
1,https://genenetwork.org/show_trait?trait_id=17807351&dataset=FGUCAS_BAdip0516,rat,HXBBXH,FGUCAS_BAdip0516,17807351,Klf4,Kruppel-like factor 4 (gut),,N/A,5,70.273859,GKLF,114505,N/A,,-,,,70.273859,70.278219,14,17.15994,rsRn10014521,12.0811354088728,,9.832062423229218,9.826,,x,x,x,x,x,x,9.616,,9.875,,9.945,,9.944,,9.696,,9.766,,9.878,,10.047,,10.178,,x,x,9.657,,8.594,,9.351,,9.808,,8.754,,9.898,,10.025,,x,x,10.183,,9.656,,x,x,9.377,,x,x,10.062,,9.971,,x,x,10.063,,10.217,,9.096,,10.051,,10.445,,10.467,,x,x,10.529,,10.137,,x,x,9.672,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9.826,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,https://genenetwork.org/show_trait?trait_id=5857420&dataset=UT_HippRatEx_RMA_0709,rat,HXBBXH,UT_HippRatEx_RMA_0709,5857420,Klf4,Kruppel-like factor 4 (gut); (core), (core),N/A,5,70.279823,Klf4,114505,N/A,,-,,,70.279823,70.279852,19,8.87046,rsRn10017893,21.7307775442706,,8.970031261444092,9.209,0.254,8.839,0.128,x,x,x,x,9.512,0.373,9.054,0.544,8.59,0.148,8.975,0.338,9.064,0.244,9.749,0.479,8.894,0.018,9.094,0.671,8.41,0.313,x,x,8.447,0.126,9.077,0.1,8.748,0.14,9.666,0.131,9.224,0.64,8.77,0.276,8.762,0.203,x,x,9.189,0.544,9.363,0.081,x,x,8.374,0.438,x,x,9.14,0.605,8.23,0.391,x,x,8.79,0.221,9.356,0.73,9.534,0.04,9.163,0.494,8.398,0.523,9.902,0.247,x,x,8.922,0.453,8.352,0.646,x,x,8.244,1.314,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9.209,0.254,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.839,0.128,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3,https://genenetwork.org/show_trait?trait_id=6112171&dataset=UT_HippRatEx_RMA_0709,rat,HXBBXH,UT_HippRatEx_RMA_0709,6112171,Klf4,Kruppel-like factor 4 (gut); (core), (core),N/A,5,70.279343,Klf4,114505,N/A,,-,,,70.279343,70.279718,1,193.855506,rsRn10001275,9.7613263323377,,8.703562542796135,8.896,0.614,8.195,0.505,x,x,x,x,8.92,0.142,8.602,0.419,8.562,0.356,8.014,0.964,8.958,0.049,8.767,0.909,8.404,0.322,8.576,0.975,8.42,0.102,x,x,9.417,0.054,8.852,0.21,8.402,0.123,9.08,0.576,9.138,0.285,9.305,0.061,7.956,0.915,x,x,8.01,0.385,8.278,0.275,x,x,8.658,0.082,x,x,9.316,0.553,8.391,0.141,x,x,9.134,0.323,9.458,0.156,9.577,0.218,9.484,0.31,8.648,0.818,8.536,0.315,x,x,8.406,0.06,8.567,0.398,x,x,7.587,0.857,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.896,0.614,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.195,0.505,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,https://genenetwork.org/show_trait?trait_id=5642887&dataset=UT_HippRatEx_RMA_0709,rat,HXBBXH,UT_HippRatEx_RMA_0709,5642887,Klf4,Kruppel-like factor 4 (gut); (core), (core),N/A,5,70.279854,Klf4,114505,N/A,,-,,,70.279854,70.279893,9,41.127675,rsRn10011141,11.3803496734515,,9.396656185388565,9.691,0.181,9.171,0.181,x,x,x,x,9.61,0.032,9.314,0.476,10.108,0.152,8.964,0.053,9.785,0.019,9.061,0.967,9.594,0.526,9.13,0.067,9.45,0.168,x,x,8.776,1.719,9.734,0.219,9.128,0.181,9.75,0.092,9.709,0.254,9.524,0.482,9.758,0.395,x,x,9.16,0.845,9.102,0.744,x,x,9.187,0.119,x,x,9.773,0.305,9.186,0.139,x,x,9.728,0.033,9.868,0.267,9.308,0.229,9.977,0.165,9.215,0.634,9.332,0.271,x,x,9.278,0.277,8.304,0.904,x,x,9.018,0.288,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9.691,0.181,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9.171,0.181,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
5,https://genenetwork.org/show_trait?trait_id=5819735&dataset=UT_HippRatEx_RMA_0709,rat,HXBBXH,UT_HippRatEx_RMA_0709,5819735,Klf4,Kruppel-like factor 4 (gut); (core), (core),N/A,5,70.281394,Klf4,114505,N/A,,-,,,70.281394,70.28182,19,5.128684,rsRn10017873,15.8539713294622,,9.56259372830391,9.53,0.171,9.366,0.291,x,x,x,x,9.542,0.128,9.438,0.134,9.332,0.48,9.548,0.177,9.742,0.192,9.906,0.309,9.678,0.387,9.85,0.089,9.162,0.877,x,x,9.866,0.405,9.632,0.105,9.22,0.503,9.624,0.227,9.852,0.98,9.263,0.342,9.672,0.552,x,x,9.617,0.414,9.812,0.1,x,x,9.186,0.489,x,x,9.38,0.095,9.289,0.262,x,x,9.595,0.021,9.84,0.422,9.668,0.1,9.749,0.972,9.702,0.174,9.54,0.397,x,x,9.779,0.344,9.423,0.066,x,x,9.2,0.238,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9.53,0.171,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9.366,0.291,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,https://genenetwork.org/show_trait?trait_id=6433847&dataset=UT_HippRatEx_RMA_0709,rat,HXBBXH,UT_HippRatEx_RMA_0709,6433847,Klf4,Kruppel-like factor 4 (gut); (core), (core),N/A,5,70.283395,Klf4,114505,N/A,,-,,,70.283395,70.283544,5,54.383089,rs106656245,14.2960952927616,,8.405656173825264,8.218,0.085,8.464,0.167,x,x,x,x,7.799,0.816,8.074,0.04,8.258,0.025,8.176,0.26,8.267,0.539,8.429,0.078,8.658,0.463,8.597,0.218,9.124,0.071,x,x,8.052,0.307,8.747,0.602,8.339,0.054,8.632,0.363,8.505,0.035,8.195,0.303,8.473,0.192,x,x,8.27,0.281,8.174,0.045,x,x,8.48,0.457,x,x,8.057,0.436,8.429,0.519,x,x,8.198,0.441,8.953,0.147,8.888,0.021,7.994,0.202,8.183,0.659,8.728,0.214,x,x,7.95,0.214,8.698,0.06,x,x,8.972,0.165,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.218,0.085,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.464,0.167,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
7,https://genenetwork.org/show_trait?trait_id=1387260_at&dataset=HXB_Heart_1208,rat,HXBBXH,HXB_Heart_1208,1387260_at,Klf4,Kruppel-like factor 4 (gut),,N/A,5,70.278992,Not available,114505,N/A,Rn.7719,-,3.26,251.0,70.278992,70.279547,5,5.328025,rsRn10006463,10.96447257953,,9.902980645161291,9.6924,0.325,10.7405,0.229,x,x,x,x,9.746,0.205,9.6204,0.117,9.9954,0.521,9.7463,0.23,10.0782,0.184,10.1045,0.214,9.7437,0.201,9.7737,0.213,9.8737,0.313,x,x,9.5297,0.238,9.6101,0.24,9.8302,0.09,9.9546,0.169,9.9413,0.196,9.898,0.312,10.1709,0.321,x,x,9.817,0.229,x,x,x,x,10.4042,0.293,x,x,9.5226,0.257,9.8922,0.292,x,x,9.7822,0.287,10.3171,0.149,10.0323,0.283,9.7533,0.183,9.6798,0.238,10.0724,0.071,x,x,9.7029,0.055,10.0495,0.183,x,x,9.9173,0.159,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,9.6924,0.325,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,10.7405,0.229,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
8,https://genenetwork.org/show_trait?trait_id=1387260_at&dataset=HXB_Liver_1208,rat,HXBBXH,HXB_Liver_1208,1387260_at,Klf4,Kruppel-like factor 4 (gut),,N/A,5,70.278992,Not available,114505,N/A,Rn.7719,-,3.26,251.0,70.278992,70.279547,4,158.115864,rsRn10006287,13.0481561231639,,8.119064516129031,7.825,0.1,8.322,0.191,x,x,x,x,7.986,0.12,8.442,0.55,8.439,0.17,7.779,0.173,8.008,0.084,8.608,0.03,7.819,0.055,8.058,0.083,7.893,0.14,x,x,8.367,0.159,7.702,0.071,7.801,1.162,8.303,0.063,8.05,0.237,7.897,0.132,8.158,0.229,x,x,8.094,0.155,x,x,x,x,7.937,0.166,x,x,9.051,0.189,8.018,0.154,x,x,8.009,0.114,8.041,0.146,8.28,0.123,8.301,0.076,8.124,0.176,8.142,0.198,x,x,8.118,0.235,7.668,0.315,x,x,8.451,0.111,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7.825,0.1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.322,0.191,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
9,https://genenetwork.org/show_trait?trait_id=1387260_at&dataset=KI_2A_0405_M,rat,HXBBXH,KI_2A_0405_M,1387260_at,Klf4,Kruppel-like factor 4 (gut),,N/A,5,70.278992,"GKLF, MGC93286",114505,N/A,Rn.7719,-,3.26,251.0,70.278992,70.279547,11,13.049933,D11Rat28,12.4592082934587,0.178,8.07175,8.135,0.0865,8.105,0.106,x,x,x,x,7.987,0.0615,7.993,0.117,8.328,0.136,7.88,0.0443,8.167,0.0791,8.08,0.154,8.12,0.0453,7.778,0.222,8.059,0.144,x,x,8.106,0.0304,8.028,0.0856,7.969,0.0798,8.014,0.0833,8.018,0.0339,8.048,0.097,7.841,0.0358,x,x,8.163,0.139,x,x,x,x,8.127,0.161,x,x,8.051,0.07,8.089,0.0853,x,x,8.17,0.078,8.345,0.114,8.107,0.0307,8.088,0.0209,7.89,0.0641,8.352,0.19,8.286,0.166,8.111,0.0856,8.098,0.0275,x,x,7.763,0.0531,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.135,0.0865,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,8.105,0.106,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10,https://genenetwork.org/show_trait?trait_id=1387260_at&dataset=KI_2A_0405_R,rat,HXBBXH,KI_2A_0405_R,1387260_at,Klf4,Kruppel-like factor 4 (gut),,N/A,5,70.278992,"GKLF, MGC93286",114505,N/A,Rn.7719,-,3.26,251.0,70.278992,70.279547,10,10.49735,rsRn10011736,8.19551701645976,0.82,6.41046875,6.463,0.106,6.418,0.235,x,x,x,x,6.38,0.0292,6.439,0.095,6.615,0.111,6.142,0.123,6.566,0.108,6.442,0.151,6.534,0.0997,6.052,0.294,6.383,0.138,x,x,6.305,0.0731,6.42,0.0414,6.32,0.0305,6.275,0.13,6.391,0.0644,6.352,0.0176,6.243,0.0277,x,x,6.451,0.0597,x,x,x,x,6.769,0.179,x,x,6.386,0.0524,6.423,0.0338,x,x,6.48,0.117,6.681,0.0899,6.47,0.1,6.321,0.0468,6.165,0.111,6.637,0.18,6.512,0.285,6.47,0.0393,6.5,0.06,x,x,6.13,0.104,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6.463,0.106,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6.418,0.235,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
