"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,B-B-205-1,B-B-205-1_SE,B-B-206-1,B-B-206-1_SE,B-B-207-1,B-B-207-1_SE,B-B-208-1,B-B-208-1_SE,B-C-101-1,B-C-101-1_SE,B-C-102-1,B-C-102-1_SE,B-C-103-1,B-C-103-1_SE,B-C-104-1,B-C-104-1_SE,B-C-105-1,B-C-105-1_SE,B-CR-109-1,B-CR-109-1_SE,B-CR-110-1,B-CR-110-1_SE,B-CR-111-1,B-CR-111-1_SE,B-CR-112-1,B-CR-112-1_SE,B-CR-113-1,B-CR-113-1_SE,B-R-141-1,B-R-141-1_SE,B-R-142-1,B-R-142-1_SE,B-R-143-1,B-R-143-1_SE,B-R-145-1,B-R-145-1_SE,D-B-215-1,D-B-215-1_SE,D-B-216-1,D-B-216-1_SE,D-B-217-1,D-B-217-1_SE,D-B-218-1,D-B-218-1_SE,D-C-85-1,D-C-85-1_SE,D-C-86-1,D-C-86-1_SE,D-C-87-1,D-C-87-1_SE,D-C-88-1,D-C-88-1_SE,D-C-89-1,D-C-89-1_SE,D-CR-93-1,D-CR-93-1_SE,D-CR-94-1,D-CR-94-1_SE,D-CR-95-1,D-CR-95-1_SE,D-CR-96-1,D-CR-96-1_SE,D-CR-97-1,D-CR-97-1_SE,D-R-132-1,D-R-132-1_SE,D-R-133-1,D-R-133-1_SE,D-R-134-1,D-R-134-1_SE,D-R-137-1,D-R-137-1_SE,D-R-138-1,D-R-138-1_SE,N-B-209-1,N-B-209-1_SE,N-B-210-1,N-B-210-1_SE,N-B-211-1,N-B-211-1_SE,N-B-212-1,N-B-212-1_SE,N-C-117-1,N-C-117-1_SE,N-C-118-1,N-C-118-1_SE,N-C-119-1,N-C-119-1_SE,N-C-120-1,N-C-120-1_SE,N-CR-125-1,N-CR-125-1_SE,N-CR-126-1,N-CR-126-1_SE,N-CR-127-1,N-CR-127-1_SE,N-CR-128-1,N-CR-128-1_SE,N-CR-130-1,N-CR-130-1_SE,N-R-149-1,N-R-149-1_SE,N-R-151-1,N-R-151-1_SE,N-R-152-1,N-R-152-1_SE,N-R-154-1,N-R-154-1_SE
1,https://genenetwork.org/show_trait?trait_id=TC0400002694.mm.1&dataset=CMS_Hipp_ZScr_1115,mouse,CMS,CMS_Hipp_ZScr_1115,TC0400002694.mm.1,Klf4,Kruppel-like factor 4 (gut),,N/A,4,55.514265,"EZF, Gklf, Zie, EZF, GKLF, KLF4",16600,N/A,Mm.4325,-,,,55.514265,55.519603,,,Marker1,,,9.690426014087818,9.633,,9.605,,9.675,,9.648,,9.607,,9.567,,9.667,,9.638,,9.592,,x,x,9.779,,9.77,,9.852,,9.644,,9.875,,9.68,,9.709,,9.67,,9.586,,9.614,,9.656,,9.653,,9.532,,9.64,,9.673,,9.753,,9.758,,9.654,,9.57,,9.619,,9.552,,9.692,,9.744,,9.677,,9.795,,x,x,9.59,,9.679,,9.735,,9.703,,9.751,,9.693,,9.66,,9.691,,9.581,,9.791,,9.871,,9.747,,9.856,,9.636,,9.676,,9.728,,9.829,,9.901,
2,https://genenetwork.org/show_trait?trait_id=TC0400002694.mm.1&dataset=CMS_Hipp1115,mouse,CMS,CMS_Hipp1115,TC0400002694.mm.1,Klf4,Kruppel-like factor 4 (gut),,N/A,4,55.514265,"EZF, Gklf, Zie, EZF, GKLF, KLF4",16600,N/A,Mm.4325,-,,,55.514265,55.519603,,,Marker1,,0.0,7.525611700835051,7.46687,,7.4262,,7.51046,,7.48454,,7.4637,,7.44011,,7.50648,,7.49146,,7.42738,,7.5152,,7.62722,,7.61728,,7.71501,,7.47859,,7.70421,,7.54629,,7.52943,,7.51431,,7.45354,,7.45314,,7.48702,,7.47539,,7.34384,,7.49296,,7.49265,,7.58563,,7.59345,,7.49006,,7.38106,,7.45098,,7.37997,,7.54649,,7.58579,,7.50306,,7.64437,,7.50686,,7.42816,,7.50101,,7.5632,,7.53634,,7.58094,,7.52487,,7.47667,,7.53258,,7.40899,,7.57247,,7.68657,,7.61132,,7.71852,,7.46266,,7.50913,,7.56318,,7.63269,,7.74272,
3,https://genenetwork.org/show_trait?trait_id=TC0800002807.mm.1&dataset=CMS_Hipp_ZScr_1115,mouse,CMS,CMS_Hipp_ZScr_1115,TC0800002807.mm.1,Rrad,Ras-related associated with diabetes,,N/A,8,102.104166,"REM3, Rad",56437,N/A,Mm.29467,-,,,102.104166,102.107421,,,Marker1,,,7.981555550186722,7.947,,7.982,,7.822,,8.067,,7.926,,7.853,,8.026,,8.034,,8.068,,x,x,8.175,,7.968,,8.346,,7.808,,7.921,,8.064,,8.155,,7.971,,8.098,,8.145,,7.94,,7.804,,8.138,,7.992,,7.989,,7.909,,7.834,,7.983,,8.138,,7.841,,7.914,,8.071,,7.928,,7.862,,7.92,,x,x,8.021,,7.99,,7.869,,8.098,,8.003,,7.975,,7.871,,7.804,,7.892,,8.073,,7.907,,8.069,,8.061,,8.02,,7.984,,7.989,,7.841,,7.82,
4,https://genenetwork.org/show_trait?trait_id=TC0800002807.mm.1&dataset=CMS_Hipp1115,mouse,CMS,CMS_Hipp1115,TC0800002807.mm.1,Rrad,Ras-related associated with diabetes,,N/A,8,102.104166,"REM3, Rad",56437,N/A,Mm.29467,-,,,102.104166,102.107421,,,Marker1,,0.0,5.838612794876099,5.81752,,5.80284,,5.6519,,5.90156,,5.79952,,5.7267,,5.86779,,5.93115,,5.91325,,6.01152,,6.0553,,5.82792,,6.25037,,5.64056,,5.80254,,5.95748,,5.97343,,5.83411,,5.98651,,6.042,,5.78991,,5.64604,,5.95126,,5.84495,,5.83312,,5.82389,,5.69993,,5.87334,,5.92484,,5.68269,,5.75933,,5.95799,,5.78431,,5.69202,,5.81457,,5.74162,,5.8811,,5.84472,,5.71723,,5.93144,,5.84665,,5.829,,5.69029,,5.68954,,5.7537,,5.8785,,5.73258,,5.9664,,5.95413,,5.87059,,5.84968,,5.84577,,5.66437,,5.72561,
5,https://genenetwork.org/show_trait?trait_id=TC0700000386.mm.1&dataset=CMS_Hipp_ZScr_1115,mouse,CMS,CMS_Hipp_ZScr_1115,TC0700000386.mm.1,Irgq,"immunity-related GTPase family, Q",,N/A,7,23.745629,Not available,210146,N/A,Mm.41108,+,,,23.745629,23.753581,,,Marker1,,,9.595296294600875,9.485,,9.568,,9.709,,9.451,,9.475,,9.418,,9.466,,9.61,,9.723,,x,x,9.332,,9.614,,9.555,,9.574,,9.525,,9.487,,9.626,,9.602,,9.675,,9.386,,9.75,,9.798,,9.686,,9.613,,9.617,,9.563,,9.586,,9.471,,9.623,,9.692,,9.553,,9.672,,9.688,,9.619,,9.468,,x,x,9.646,,9.35,,9.686,,9.543,,9.537,,9.685,,9.701,,9.525,,9.857,,9.812,,9.709,,9.609,,9.578,,9.587,,9.613,,9.605,,9.662,,9.631,
6,https://genenetwork.org/show_trait?trait_id=TC0700000386.mm.1&dataset=CMS_Hipp1115,mouse,CMS,CMS_Hipp1115,TC0700000386.mm.1,Irgq,"immunity-related GTPase family, Q",,N/A,7,23.745629,Not available,210146,N/A,Mm.41108,+,,,23.745629,23.753581,,,Marker1,,0.0,7.432381188427961,7.3223,,7.38898,,7.54457,,7.2873,,7.33293,,7.29148,,7.30617,,7.46494,,7.55731,,7.36301,,7.18953,,7.46254,,7.42651,,7.40864,,7.36338,,7.35668,,7.44623,,7.44735,,7.54132,,7.23394,,7.58039,,7.61889,,7.49733,,7.46566,,7.43769,,7.40405,,7.42406,,7.31338,,7.43465,,7.52363,,7.38146,,7.52703,,7.53091,,7.44462,,7.32542,,7.40707,,7.48333,,7.17906,,7.51526,,7.37625,,7.36916,,7.51641,,7.51835,,7.37046,,7.68003,,7.59243,,7.52483,,7.47565,,7.44502,,7.4147,,7.44708,,7.44133,,7.46742,,7.48048,
7,https://genenetwork.org/show_trait?trait_id=TC0700002603.mm.1&dataset=CMS_Hipp_ZScr_1115,mouse,CMS,CMS_Hipp_ZScr_1115,TC0700002603.mm.1,Irgc1,"immunity-related GTPase family, cinema 1 ",,N/A,7,23.646903,Not available,210145,N/A,Mm.33811,-,,,23.646903,23.660663,,,Marker1,,,8.663277784983316,8.563,,8.712,,8.729,,8.706,,8.627,,8.629,,8.678,,8.663,,8.717,,x,x,8.614,,8.619,,8.806,,8.639,,8.734,,8.79,,8.482,,8.572,,8.805,,8.634,,8.653,,8.674,,8.497,,8.582,,8.658,,8.841,,8.661,,8.792,,8.599,,8.675,,8.669,,8.787,,8.539,,8.59,,8.595,,x,x,8.487,,8.675,,8.734,,8.556,,8.723,,8.709,,8.673,,8.642,,8.709,,8.685,,8.669,,8.796,,8.792,,8.548,,8.694,,8.59,,8.649,,8.727,
8,https://genenetwork.org/show_trait?trait_id=TC0700002603.mm.1&dataset=CMS_Hipp1115,mouse,CMS,CMS_Hipp1115,TC0700002603.mm.1,Irgc1,"immunity-related GTPase family, cinema 1 ",,N/A,7,23.646903,Not available,210145,N/A,Mm.33811,-,,,23.646903,23.660663,,,Marker1,,0.0,6.511320414366545,6.41999,,6.53283,,6.56221,,6.54067,,6.49385,,6.50275,,6.51895,,6.54302,,6.55757,,6.47222,,6.48592,,6.47459,,6.6983,,6.47204,,6.59403,,6.67093,,6.3014,,6.42822,,6.6831,,6.51211,,6.4953,,6.5064,,6.30971,,6.43448,,6.49263,,6.71496,,6.51369,,6.65654,,6.39333,,6.51228,,6.50618,,6.65993,,6.39023,,6.41791,,6.47261,,6.41706,,6.34011,,6.51623,,6.57342,,6.38935,,6.56068,,6.55285,,6.4905,,6.50792,,6.55471,,6.48216,,6.4907,,6.67871,,6.6726,,6.39072,,6.54575,,6.43864,,6.4637,,6.6046,
9,https://genenetwork.org/show_trait?trait_id=TC1100002641.mm.1&dataset=CMS_Hipp_ZScr_1115,mouse,CMS,CMS_Hipp_ZScr_1115,TC1100002641.mm.1,Irgm1,immunity-related GTPase family M member 1 ,,N/A,11,49.048466,Not available,15944,N/A,Mm.29938,-,,,49.048466,49.058181,,,Marker1,,,8.905740667272497,8.964,,8.989,,8.998,,9.035,,8.812,,8.631,,8.905,,8.72,,9.195,,x,x,8.774,,8.945,,8.854,,9.041,,9.084,,8.763,,9.215,,8.855,,8.822,,8.867,,8.996,,8.953,,9.009,,8.825,,8.774,,8.775,,8.669,,8.815,,9.393,,8.903,,8.797,,8.798,,8.813,,8.917,,8.962,,x,x,8.873,,9.006,,8.851,,8.956,,8.952,,8.794,,8.868,,8.838,,8.947,,8.957,,8.911,,8.804,,8.831,,9.026,,9.003,,8.891,,8.889,,8.711,
10,https://genenetwork.org/show_trait?trait_id=TC1100002641.mm.1&dataset=CMS_Hipp1115,mouse,CMS,CMS_Hipp1115,TC1100002641.mm.1,Irgm1,immunity-related GTPase family M member 1 ,,N/A,11,49.048466,Not available,15944,N/A,Mm.29938,-,,,49.048466,49.058181,,,Marker1,,0.0,6.751890403253061,6.81255,,6.81007,,6.83158,,6.87081,,6.6766,,6.50437,,6.74556,,6.59901,,7.0326,,6.7861,,6.64237,,6.79804,,6.74513,,6.87505,,6.93463,,6.64443,,7.03506,,6.70845,,6.69989,,6.73573,,6.83463,,6.78338,,6.82095,,6.67819,,6.60703,,6.65177,,6.5216,,6.67903,,7.20117,,6.73948,,6.63278,,6.67065,,6.66236,,6.74409,,6.83082,,6.80159,,6.7215,,6.84079,,6.68854,,6.78904,,6.78815,,6.63701,,6.68564,,6.69957,,6.788,,6.74998,,6.73113,,6.68655,,6.71074,,6.86193,,6.84884,,6.73611,,6.70198,,6.58905,
